shop_id,new_potential
5764607753587527056,T2
5764607712302992146,T2
5764608023067361315,T3
5764607560959921592,T3
5764607754044706376,T3
5764607775850893221,T3
5764607551212359145,T1
5764607658347463613,T1
5764607673274993882,T1
5764607608896622423,T3
5764607665804938771,T2
5764607797053098908,T1
5764607943744684380,T1
5764607763058265881,T3
5764607605880917574,T3
5764607918306230297,T3
5764607605323075562,T3
5764607687237831692,T3
5764607740195114411,T2
5764607564063706298,T3
5764607642824347566,T3
5764607597584583588,T3
5764607688898774897,T3
5764607638479048072,T3
5764607948220006530,T3
5764607951827108103,T1
5764607586993966294,T2
5764607524612082128,T2
5764607684121464740,T2
5764607698763779576,T3
5764607726844644868,T2
5764607784973504491,T3
5764607796214238999,T3
5764607606900133349,T3
5764607617503333271,T2
5764607682204667652,T3
5764607812840456763,T1
5764607936064913537,T1
5764607611870384052,T3
5764607760642346485,T1
5764608024279515145,T3
5764607533499812479,T3
5764607542295268929,T1
5764607554702019151,T1
5764607595881695088,T3
5764607598486360003,T3
5764607704635803961,T3
5764607663535819585,T3
5764607980700696711,T3
5764607531348135922,T3
5764607712302992978,T2
5764607553510834877,T2
5764607582405396875,T3
5764607750064312252,T3
5764607750697651357,T3
5764607600600289199,T3
5764607652005678380,T3
5764607970701476284,T2
5764608057217384709,T2
5764607555004010418,T3
5764607704174431651,T1
5764607908424450230,T1
5764607535911537080,T1
5764607555490549281,T2
5764607691771871470,T3
5764607911893139477,T3
5764607765654539905,T3
5764608016247423144,T3
5764607591158909880,T1
5764607626391064146,T3
5764607641280843220,T1
5764607770608011307,T2
5764607783329336873,T1
5764607549031320694,T2
5764607591301516917,T1
5764607738710331289,T3
5764607757039439582,T3
5764607776912051757,T1
5764607544698605185,T3
5764607660687888210,T2
5764607705134927441,T2
5764607721979252266,T2
5764607804720283761,T3
5764607916141969595,T1
5764607766942190500,T3
5764607863885136468,T2
5764607541527710628,T2
5764607552609062430,T1
5764607652370582981,T3
5764607693785140810,T1
5764607581482650978,T1
5764607634532208163,T3
5764607673031724617,T3
5764608058639253518,T1
5764607586926857335,T2
5764607828409712788,T2
5764607920667623687,T1
5764607540583991020,T3
5764607611681639655,T1
5764607724214816677,T3
5764607556799172068,T1
5764607684616389780,T1
5764607587379842581,T3
5764607679281237434,T2
5764608065354334370,T1
5764607632313421811,T3
5764607705256561222,T1
5764607707865416075,T2
5764607721358493858,T2
5764608012522881176,T3
5764607597127405490,T3
5764607682645068463,T1
5764607720892927816,T3
5764607535932508695,T3
5764607658016116144,T2
5764607747153462220,T3
5764607606057078201,T3
5764607971766829235,T1
5764607682141752835,T1
5764607962396754517,T1
5764607649321324072,T2
5764607573635107965,T1
5764607721081671200,T3
5764607599572684786,T3
5764607637979926211,T3
5764607698948329244,T1
5764607717256465757,T2
5764607759153369075,T3
5764607914363584762,T1
5764607563967237936,T2
5764607616756747569,T1
5764607922588614770,T3
5764607534716161399,T3
5764607627410279880,T1
5764607642774015185,T3
5764607782456922038,T1
5764607790849724126,T2
5764607851126063199,T1
5764607651066154384,T1
5764607786076606227,T3
5764607796604308668,T2
5764607799003447635,T1
5764607941140021392,T1
5764608033230159980,T1
5764607593537080812,T3
5764607603762793987,T1
5764607639980609120,T1
5764607788165369566,T3
5764607595852336064,T2
5764608025571361365,T2
5764607571454070169,T3
5764608015660220441,T3
5764607537165635111,T2
5764607548733525542,T1
5764607689188183384,T1
5764607754870984322,T1
5764607786022079993,T2
5764607941798527318,T1
5764607554936901250,T2
5764607589435051025,T1
5764607678329130491,T3
5764607764211699006,T1
5764607927156211848,T3
5764607949235028119,T1
5764607607403450270,T3
5764607639162720189,T3
5764607708347763628,T3
5764607778807877080,T2
5764607802509886076,T1
5764607614311468410,T2
5764607700403752184,T2
5764607829705752745,T3
5764607900664987756,T3
5764607971942990374,T1
5764607537178218011,T2
5764607596011720076,T1
5764607957871100042,T3
5764607643679983843,T3
5764607726945307994,T1
5764607552080580502,T1
5764607796432341945,T2
5764607788798709702,T2
5764607878036717700,T3
5764607690421306186,T3
5764607935658066026,T1
5764607627414474115,T1
5764607747770027369,T1
5764607653641457236,T3
5764607839314903633,T1
5764608005572919436,T1
5764607545730403959,T1
5764607580891251658,T3
5764607583449780053,T1
5764607609303469841,T2
5764607636901989707,T2
5764607773212672186,T3
5764607932269068500,T1
5764608036614963834,T1
5764607627292839420,T1
5764607631310982417,T3
5764607646003627643,T2
5764607689242709481,T1
5764607740102839296,T1
5764607792133180902,T3
5764607576084581787,T1
5764607625669643801,T3
5764607626890186110,T2
5764607649937887162,T3
5764607655621168633,T1
5764607919908454572,T3
5764607608976312495,T1
5764607738139902291,T2
5764607743386978921,T2
5764607618010844055,T1
5764607658318106615,T3
5764607689049770942,T3
5764607738383175210,T2
5764607756586453941,T1
5764607909884067969,T3
5764607676013875130,T2
5764607678400433933,T2
5764607680745049677,T3
5764607732959940075,T1
5764607748692774446,T2
5764607561379351775,T1
5764607564499913657,T2
5764607566152469112,T2
5764607664173353178,T2
5764607682527627173,T2
5764607697534848560,T2
5764607715163508217,T3
5764607717411655592,T3
5764607855160983611,T3
5764607534321896640,T2
5764607543549364911,T1
5764607790535151108,T3
5764607541825507269,T1
5764607551011030785,T1
5764607597865602259,T1
5764607675405699522,T1
5764607892398015051,T1
5764607984630759564,T3
5764608050028347498,T2
5764607537174023516,T1
5764607546422464075,T1
5764607621307564748,T3
5764607537861889948,T3
5764607615381015063,T2
5764607617155205613,T2
5764607621483728272,T1
5764607697027334239,T1
5764607724260954107,T3
5764607730179116830,T1
5764607751867862132,T2
5764607762513006165,T3
5764607604308053760,T1
5764607618346385519,T2
5764607625317321702,T2
5764607546359549187,T1
5764607565854674515,T3
5764607596254989834,T3
5764607627833904170,T1
5764607796906297962,T1
5764607573253426963,T1
5764607673501486251,T2
5764607709962571144,T1
5764607755579818246,T1
5764608035021127815,T2
5764607683538455717,T2
5764607735375858671,T1
5764607753537194238,T2
5764608018281660548,T3
5764607551728257481,T2
5764607605763476180,T3
5764607765339967198,T1
5764607786529590769,T2
5764607790069583143,T2
5764608043451678729,T2
5764607539585748317,T1
5764607711980031962,T1
5764607553972210758,T1
5764607574201337937,T2
5764607606744943294,T3
5764607630908329210,T3
5764607699497782655,T1
5764607760101277912,T3
5764607768552803690,T1
5764607558032297413,T2
5764607604098338793,T3
5764607816380449019,T1
5764608022756982933,T3
5764607585161055768,T1
5764607686977784598,T1
5764607774877811070,T3
5764607546552484582,T2
5764607600562538510,T1
5764607759786708739,T2
5764607760675900893,T1
5764607640727194482,T3
5764607645642919456,T3
5764607758721355747,T1
5764607970336571848,T1
5764607560943144319,T2
5764607688345128174,T2
5764607687774702540,T3
5764607738815188467,T3
5764607750144003472,T3
5764607723149461289,T3
5764607561605844768,T3
5764608057850724925,T1
5764607745693847067,T3
5764607649803669420,T3
5764607649086442485,T3
5764607767382591731,T2
5764607821736575145,T3
5764607561203190647,T3
5764607602038935006,T3
5764607612352728084,T3
5764607684645752395,T3
5764607693835471286,T3
5764607539980012273,T3
5764607548687388601,T3
5764607608703684080,T2
5764607639636676141,T2
5764607644724364317,T2
5764607665926573411,T2
5764607680921209835,T1
5764607683521678538,T2
5764607690987538278,T3
5764607696310112044,T3
5764607711644487254,T3
5764607745807093503,T3
5764607756318018411,T3
5764607757437897624,T2
5764607784499546496,T3
5764607906977415194,T3
5764607997897343550,T2
5764608058278543415,T3
5764607669642726018,T2
5764607733454867882,T2
5764607552206409646,T3
5764607712021974500,T3
5764607553892519463,T3
5764607975575257224,T3
5764607591452512179,T2
5764607631449395131,T3
5764607777469894124,T3
5764607782888933222,T2
5764607792384839116,T1
5764607600466071079,T3
5764607641746410905,T2
5764607709157265353,T3
5764607731181555480,T2
5764607568975237105,T2
5764607668967443775,T1
5764607862073196607,T3
5764607956944159079,T1
5764607571407931277,T2
5764607741944139123,T2
5764607752148880860,T3
5764607875062956164,T1
5764607588722019704,T1
5764607538683973012,T2
5764607556958555347,T1
5764607620774890226,T1
5764607724244175271,T3
5764607585848921463,T3
5764607653658234654,T1
5764607575296052810,T3
5764607753931460056,T1
5764607574968897310,T3
5764607594753428631,T2
5764607598700269394,T3
5764607612856045549,T3
5764607641876434551,T3
5764607660746608121,T3
5764607696284945314,T3
5764607709207594817,T2
5764607717252271614,T2
5764607757735694231,T1
5764607782029102598,T3
5764607814266519646,T1
5764607826992038033,T3
5764607828762034348,T2
5764607869400645917,T1
5764607901529015047,T2
5764608042067558529,T2
5764608072472068129,T3
5764607645089270687,T3
5764607679943937020,T3
5764607705344642184,T3
5764607738647415049,T3
5764607562323070889,T3
5764607777302122397,T3
5764608026838040747,T3
5764607581205826193,T3
5764607602592581383,T3
5764607612818294530,T3
5764607700915457854,T2
5764607713506758574,T3
5764607609076976468,T3
5764607649191300728,T3
5764607684712861208,T3
5764607721656290831,T3
5764607679516118813,T3
5764607747849719131,T3
5764607652706126708,T3
5764607919774237172,T3
5764607926380265616,T2
5764607550755180533,T1
5764607809048805489,T1
5764607587744746387,T1
5764607696813428491,T3
5764607532031806832,T1
5764607539405393201,T3
5764607643537378752,T1
5764607663061863126,T2
5764607846919176357,T2
5764607774772956664,T3
5764607527527123500,T1
5764607555293416862,T3
5764607655147208938,T2
5764607656304837258,T3
5764607677993586251,T3
5764607922676695044,T3
5764607541741621059,T3
5764607677842589760,T1
5764607747770027797,T1
5764607857971167301,T1
5764607692648484210,T3
5764607779512520300,T2
5764607784453410380,T3
5764607882855972983,T1
5764607885141868676,T3
5764607588919152410,T1
5764607641247289276,T2
5764607748487250285,T2
5764607762546560009,T1
5764607895141089386,T3
5764607575837118392,T1
5764607714471448508,T1
5764607716954474954,T2
5764607787506863365,T1
5764608038313656865,T1
5764607548372815805,T3
5764607556404906445,T3
5764607703117467110,T3
5764607729818406510,T1
5764607759551826840,T2
5764607985008247205,T2
5764607732930579908,T1
5764607704262512148,T3
5764607747933605846,T3
5764607566534151666,T3
5764607588914958275,T3
5764607589883842090,T2
5764607598708656035,T3
5764607606027717962,T3
5764607617381696505,T3
5764607648096587167,T2
5764607714341424503,T2
5764607739188480469,T1
5764607740895563556,T2
5764607780737255873,T3
5764607788014374879,T3
5764607887557787915,T2
5764608018445238540,T1
5764608069368283231,T1
5764607550478355991,T2
5764607766686335259,T1
5764607613720071802,T3
5764607738995543607,T1
5764607756632591916,T1
5764607553414368695,T1
5764607708901410991,T3
5764607794423270914,T3
5764607710897901110,T1
5764607531247471620,T3
5764607850610163816,T3
5764607601091022785,T2
5764607638613265365,T3
5764607752413121937,T2
5764607627305422841,T2
5764607634234413041,T3
5764607651934374362,T1
5764607652320251256,T2
5764607742283877562,T3
5764607757811190367,T2
5764607763045682367,T3
5764607787074850648,T1
5764607793219506104,T2
5764607795517984681,T3
5764607795866108805,T2
5764607806725161343,T2
5764608005027659915,T2
5764608062980358918,T1
5764607790941998712,T3
5764607806943264914,T3
5764607589825120825,T3
5764607610582732098,T1
5764607681755876218,T3
5764607688651312514,T1
5764607866699514659,T2
5764607544350478106,T1
5764607572091604442,T3
5764607598381502036,T1
5764607678576594105,T1
5764607730057481119,T2
5764608034723332185,T3
5764607602819072841,T1
5764607604979141652,T1
5764607717130635967,T1
5764607794393910295,T1
5764607566735475065,T1
5764607754850012584,T3
5764607600352825325,T3
5764607602290593233,T2
5764607662743095996,T1
5764608071943585960,T1
5764607685069376710,T3
5764607686193450834,T2
5764607735254224238,T3
5764607670523529051,T3
5764607737695308680,T3
5764607768124984202,T3
5764607791499840473,T3
5764607630669253567,T3
5764607754040511711,T3
5764607549652077965,T3
5764607610528206518,T3
5764607660654333948,T3
5764607650759970729,T3
5764607898236485775,T3
5764607638483242229,T3
5764607725192089527,T3
5764607752970964191,T1
5764607663758118266,T1
5764607578966068694,T3
5764607745601572471,T3
5764607525086039580,T3
5764607795245353859,T3
5764607612797325244,T3
5764607659035330968,T3
5764607557390569308,T3
5764607583101652425,T2
5764607603020402676,T3
5764607617281035586,T3
5764607717252271598,T2
5764607741889613711,T2
5764607751981107550,T1
5764607754568993953,T2
5764607766354987871,T3
5764607785816559080,T1
5764607786454092760,T3
5764607788270226963,T1
5764607797875182969,T3
5764607837536518403,T3
5764607922643140947,T2
5764607964196110472,T2
5764607973473910922,T3
5764607975541702792,T3
5764608047104917843,T1
5764608060212117596,T3
5764607526570823633,T3
5764607528198211417,T3
5764607545684265066,T3
5764607569478553091,T3
5764607847556710521,T3
5764607530798681571,T3
5764607584217336751,T1
5764607774710042105,T1
5764607574750793246,T3
5764607581029665683,T3
5764607602399644618,T2
5764607623098533959,T3
5764607663208662961,T3
5764607681357418255,T3
5764607689112684949,T3
5764607690417113017,T3
5764607703914385399,T3
5764607707135610258,T2
5764607718149851240,T1
5764607718401508207,T3
5764607720825819062,T2
5764607750060117402,T2
5764607759098843031,T2
5764607765440629988,T2
5764607796935658810,T1
5764607889336172643,T3
5764607963902509220,T2
5764608053077606560,T2
5764607541255081272,T3
5764607547034832892,T3
5764607547743670215,T3
5764607585593069483,T3
5764607535630519666,T1
5764607697677454621,T1
5764607713565478459,T1
5764607741499542336,T3
5764607529267760621,T1
5764607580765425182,T2
5764607651468808091,T3
5764607719219400041,T1
5764607737619808802,T1
5764607780691117920,T1
5764607784314998547,T1
5764607798047146610,T1
5764607544371449208,T1
5764607719244566072,T2
5764607930067058827,T1
5764608066289664843,T1
5764607612201733618,T1
5764607680967348130,T3
5764607688542258175,T2
5764607693315378368,T3
5764607699451644928,T3
5764607707504707241,T1
5764607715943647583,T1
5764607718208571451,T2
5764607725552799631,T3
5764607757945409017,T3
5764607762219403085,T2
5764607766073969969,T1
5764607767575529312,T2
5764607784352747298,T3
5764607951776776340,T3
5764607958919676539,T1
5764608007581991089,T3
5764608016008348203,T1
5764607527833309079,T3
5764607533554339285,T3
5764607542211380081,T2
5764607573450557859,T3
5764607536649734092,T3
5764607538109353151,T3
5764607563849797107,T2
5764607656623606699,T3
5764607638881701450,T3
5764607639645063694,T1
5764607684939351986,T3
5764607734675409868,T3
5764607603817319957,T3
5764607712676286375,T3
5764607765344160932,T3
5764607573706410930,T1
5764607734453112302,T3
5764607611371260674,T2
5764607568681634209,T2
5764607804862890010,T3
5764607546929974597,T3
5764607559378667266,T3
5764607666748656769,T3
5764607592626916756,T3
5764607609093754407,T3
5764607736059529002,T3
5764607761518955713,T3
5764607787796270425,T1
5764607791088798349,T2
5764607544245619543,T1
5764607548360232781,T3
5764607590622038915,T3
5764607645949101818,T3
5764607701259390298,T1
5764607759333723721,T3
5764607911301742676,T1
5764608041744597550,T1
5764608063227822630,T1
5764607600612871715,T3
5764607600826781627,T3
5764607640953686058,T1
5764607659060498012,T3
5764607684658335727,T3
5764607749342890135,T2
5764607795434097055,T2
5764607755835673838,T1
5764607537698311284,T1
5764607597177736695,T1
5764607652932619587,T1
5764607674998853089,T1
5764607718749635390,T2
5764607539573164867,T3
5764607628223974341,T3
5764607606086438434,T3
5764607611950075255,T3
5764607560062340036,T3
5764607651225537797,T3
5764607771501398830,T3
5764607762705942700,T3
5764607640177741765,T3
5764607576906664828,T1
5764607542102330871,T3
5764607654400626621,T3
5764607975562674288,T1
5764607585257524939,T3
5764607615406181949,T3
5764607592614334439,T3
5764607750873812735,T3
5764607725628296444,T3
5764607663137361418,T1
5764607683605564258,T3
5764607788698045646,T3
5764607873251016843,T2
5764607698218519614,T3
5764607732179799965,T3
5764607833279299983,T1
5764608072333656077,T3
5764607561073167866,T1
5764607651305230266,T3
5764607699028020187,T3
5764607740413214797,T2
5764607761632201843,T2
5764607769957895505,T1
5764607981568917651,T2
5764607560699874447,T2
5764607658653650372,T2
5764607696695987816,T3
5764607718690917657,T3
5764607558476894105,T3
5764608025739133533,T1
5764607747690336201,T3
5764607742220963353,T3
5764607674948521262,T3
5764607547257130544,T3
5764607679100882422,T3
5764607570002841164,T3
5764607793164980175,T3
5764607747795193369,T3
5764607696926674471,T2
5764607759694434229,T1
5764607632888040736,T1
5764607641889017082,T1
5764607711967448298,T1
5764607899515748488,T1
5764607708356152920,T1
5764607950552039583,T1
5764607562423733558,T1
5764607566865501339,T1
5764607590806588346,T1
5764607676630437028,T2
5764607635798887487,T1
5764608004247519828,T1
5764608024501813852,T1
5764607558703385443,T2
5764607633882090917,T1
5764607710335864021,T1
5764607717264854796,T2
5764607714530168785,T3
5764607748390784266,T1
5764607851222532240,T3
5764607863239213086,T2
5764607589053369921,T3
5764607632107900344,T2
5764607608733043184,T2
5764607536075114547,T3
5764607568224456353,T3
5764607623408913983,T2
5764607682762509729,T1
5764607727398292805,T1
5764607538197434146,T1
5764607555259862548,T2
5764607718158241682,T2
5764607728287485718,T3
5764607601749527046,T2
5764607704635805047,T1
5764607527023808453,T3
5764607610431736444,T1
5764607611555811290,T1
5764607648402771211,T2
5764607793651517382,T3
5764607770457018065,T3
5764607795622842310,T3
5764607684373123063,T2
5764607766736670004,T1
5764607865705463956,T3
5764607789515934938,T1
5764607731831669356,T3
5764607560582433768,T2
5764607645387067372,T1
5764607664676670823,T1
5764607713963936566,T1
5764607732666338395,T1
5764607771648199963,T2
5764607637011041878,T2
5764607616534450085,T1
5764608052968554567,T3
5764607567951826352,T2
5764607528806386895,T1
5764607540294585930,T2
5764607571907054158,T1
5764607591288932077,T3
5764607594933781359,T2
5764607638290304911,T1
5764607643864534566,T3
5764607650646724062,T2
5764607659446371326,T3
5764607662495630329,T2
5764607668195691381,T3
5764607699913019316,T3
5764607706300942559,T3
5764607712919556019,T2
5764607720410581625,T3
5764607723908631711,T3
5764607728321040282,T3
5764607771845332468,T2
5764607779042757620,T3
5764607783195119081,T1
5764607794159030255,T3
5764607799334797417,T3
5764607883854217393,T3
5764607895162061401,T1
5764608034010300567,T3
5764608066956558550,T3
5764607681202225222,T1
5764607527703284191,T2
5764607672129948937,T2
5764607678111025286,T3
5764607682976418762,T3
5764607564613159424,T2
5764607608967925702,T3
5764607616261819737,T3
5764607524163292075,T2
5764607544035904727,T2
5764607649933692284,T3
5764607668120195002,T3
5764607705722129599,T3
5764608002754347116,T3
5764607625929689769,T1
5764607742573284968,T3
5764607816166539848,T2
5764608060245672084,T3
5764607538570726599,T1
5764607615582342718,T1
5764607679482563923,T1
5764607776865913918,T3
5764607787003544500,T1
5764607737485593796,T2
5764607794985307514,T1
5764607531608182013,T3
5764607540588187258,T3
5764607564319558773,T1
5764607582451535385,T3
5764608014183825471,T3
5764607581839167401,T3
5764607710704963506,T3
5764607800328847445,T3
5764607570896227832,T3
5764607609227972599,T3
5764607671886676180,T3
5764607688483540578,T3
5764607548783857224,T3
5764607571051416835,T1
5764607641700274131,T3
5764607647903648536,T2
5764608023792975903,T3
5764607574973091179,T1
5764607591679003523,T2
5764607753851767577,T1
5764607922097881088,T2
5764607532497374471,T1
5764607786114354374,T3
5764607934412357674,T3
5764607613028011224,T2
5764607711514464246,T3
5764607771270709363,T3
5764607786793831944,T1
5764607748109763310,T2
5764607772717747469,T3
5764608056097505412,T2
5764607524536586226,T1
5764607744905317642,T2
5764607756506762786,T2
5764607920885727322,T3
5764607570300635562,T2
5764607577003134191,T2
5764607650785136469,T3
5764607990502785024,T3
5764607531515904286,T1
5764607579876232822,T3
5764607784340163509,T3
5764607531851450392,T3
5764607538767855958,T1
5764607569411443850,T1
5764607554295172681,T1
5764607718531534098,T2
5764607723795386299,T3
5764607777969016416,T1
5764607533785024456,T2
5764607535005566707,T3
5764607540714015652,T2
5764607552269324049,T2
5764607572607503699,T3
5764607624310688701,T2
5764607629020893173,T2
5764607687648873676,T2
5764607688227686580,T3
5764607702547041267,T2
5764607718267292064,T3
5764607768196285296,T2
5764607832331386897,T3
5764607987457720464,T3
5764607527892029214,T3
5764607528663781271,T1
5764607567792443094,T3
5764607572947242231,T2
5764607577938464548,T3
5764607585819561482,T2
5764607589959339806,T3
5764607597186124227,T3
5764607617276840758,T2
5764607640773329916,T3
5764607645290598334,T3
5764607649401015590,T2
5764607675330203157,T2
5764607712630148243,T2
5764607730527244260,T1
5764607741356937140,T1
5764607746310409991,T3
5764607795895471414,T2
5764607893966684701,T2
5764607960886804906,T2
5764607544069459816,T3
5764607567188463598,T3
5764607569738599531,T3
5764607593432223117,T3
5764607596506645500,T3
5764607609332829690,T3
5764607662390775788,T3
5764607676227784473,T3
5764607676248755386,T2
5764607677733538222,T2
5764607737561090638,T1
5764607740874592178,T3
5764607749913316845,T3
5764607757588892989,T1
5764607773623717668,T3
5764607782645665261,T3
5764607786911272261,T2
5764607793571824696,T2
5764607817529688237,T3
5764607978465132988,T2
5764607985637392537,T1
5764608055845847099,T3
5764607536645541344,T3
5764607539350867480,T1
5764607996068626569,T3
5764607673279188435,T1
5764607711912923057,T3
5764607611081853684,T2
5764607550243473685,T2
5764607568186707909,T1
5764607674927550387,T1
5764607686977785071,T2
5764607702991637437,T1
5764607596582143833,T1
5764607599316831590,T3
5764607718456036516,T2
5764607881023062194,T1
5764608009406513156,T3
5764607643155696645,T1
5764607695521582567,T3
5764607786663808413,T1
5764607729638050762,T1
5764607756955553131,T3
5764607615796252596,T3
5764607622473583047,T1
5764607627196370553,T3
5764607655340150766,T1
5764607759807679415,T1
5764607793966091703,T2
5764607926313156716,T1
5764607578718604252,T1
5764607656346783550,T3
5764607732175601731,T1
5764607738538364140,T3
5764607564835457961,T3
5764607577464505436,T2
5764607598587023292,T2
5764607601325903850,T3
5764607629218025405,T3
5764607654648089966,T3
5764607659333127951,T3
5764607707496317947,T2
5764607708888829049,T3
5764607737418485692,T3
5764607743605083003,T2
5764607748755689279,T3
5764607855005794512,T3
5764607533881494078,T2
5764607550713236877,T2
5764607687137168602,T1
5764607702140194766,T3
5764607741885418411,T3
5764607797367672766,T3
5764607927500144783,T1
5764607993921143003,T1
5764608025344868509,T3
5764607538340040598,T3
5764607676211006244,T3
5764607531910170417,T3
5764607749191896645,T2
5764607942419284064,T3
5764607824425123903,T3
5764607717541678407,T1
5764607572242599153,T3
5764607553615694606,T2
5764607682284357417,T3
5764607664882190416,T3
5764607743441505808,T2
5764607562016885962,T3
5764607554181924723,T3
5764607577317707212,T1
5764607578731188133,T3
5764607609806784261,T3
5764607526323358342,T3
5764607572263570478,T3
5764607611803274779,T3
5764607747258322118,T2
5764607758092210105,T3
5764607537098525558,T1
5764607609471238326,T2
5764607688827472798,T1
5764607762726915848,T2
5764607727402487040,T3
5764607768364060259,T3
